epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,498.41,0.97009,0.56563,0.94357,0.89828,0.89518,0.93123,0.68557,0.93967,0.50531,0.95364,0.00123566,0.00123566,0.00123566
43,510.112,0.96601,0.56109,0.94538,0.9122,0.8858,0.93222,0.69234,0.9337,0.49141,0.9514,0.00123094,0.00123094,0.00123094
44,522.373,0.96011,0.55752,0.94024,0.90519,0.90353,0.93871,0.68963,0.94731,0.48975,0.95071,0.00122622,0.00122622,0.00122622
45,534.662,0.94584,0.54824,0.93876,0.90801,0.89991,0.9372,0.70111,0.93525,0.48421,0.95043,0.00122151,0.00122151,0.00122151
46,546.523,0.96572,0.56246,0.93814,0.90714,0.89752,0.93522,0.68779,0.98653,0.48664,0.96059,0.00121679,0.00121679,0.00121679
47,558.216,0.9753,0.55406,0.94585,0.90538,0.90765,0.93867,0.6988,0.93777,0.4878,0.95115,0.00121208,0.00121208,0.00121208
48,569.867,0.93593,0.53728,0.93477,0.90193,0.89869,0.93292,0.69029,0.9462,0.48207,0.95088,0.00120736,0.00120736,0.00120736
49,581.978,0.98167,0.54658,0.94005,0.90877,0.8912,0.93322,0.69465,0.93649,0.49305,0.94979,0.00120265,0.00120265,0.00120265
50,593.726,0.95941,0.55551,0.93123,0.91044,0.89662,0.92831,0.68784,0.93119,0.49707,0.94865,0.00119793,0.00119793,0.00119793
51,605.721,0.95147,0.54514,0.93023,0.90143,0.90467,0.93012,0.68817,0.93807,0.48825,0.95202,0.00119322,0.00119322,0.00119322
52,617.492,0.97125,0.57205,0.93707,0.8868,0.89316,0.92322,0.69043,0.93521,0.49718,0.94979,0.0011885,0.0011885,0.0011885
53,629.077,0.94486,0.55023,0.93326,0.90927,0.90862,0.93919,0.70188,0.93009,0.4762,0.94715,0.00118378,0.00118378,0.00118378
54,640.938,0.95587,0.54312,0.93981,0.90529,0.90901,0.93568,0.69872,0.92491,0.48268,0.94644,0.00117907,0.00117907,0.00117907
55,653.013,0.95579,0.54176,0.94706,0.91038,0.90197,0.93447,0.69007,0.93315,0.4758,0.95019,0.00117435,0.00117435,0.00117435
56,664.599,0.93114,0.52633,0.9284,0.91041,0.90508,0.93753,0.70006,0.92504,0.48592,0.94602,0.00116964,0.00116964,0.00116964
57,676.512,0.96769,0.52834,0.95382,0.90568,0.90006,0.93339,0.69889,0.92251,0.4747,0.94732,0.00116492,0.00116492,0.00116492
58,688.285,0.93956,0.53418,0.94164,0.90236,0.91407,0.9388,0.70431,0.93566,0.46993,0.9478,0.00116021,0.00116021,0.00116021
59,700.491,0.93717,0.52569,0.93576,0.90498,0.90265,0.93803,0.69388,0.92749,0.47058,0.94904,0.00115549,0.00115549,0.00115549
60,712.421,0.93471,0.5344,0.93209,0.91217,0.90448,0.93861,0.70496,0.91584,0.46665,0.9447,0.00115077,0.00115077,0.00115077
61,724.313,0.94565,0.53055,0.94325,0.89868,0.90884,0.93489,0.69662,0.92458,0.47593,0.9477,0.00114606,0.00114606,0.00114606
62,736.023,0.95446,0.53643,0.93694,0.90285,0.89969,0.93381,0.67803,0.96932,0.47848,0.97005,0.00114134,0.00114134,0.00114134
63,747.952,0.92602,0.52495,0.93282,0.89952,0.90336,0.9338,0.69878,0.92814,0.48668,0.94655,0.00113663,0.00113663,0.00113663
64,760.026,0.93067,0.52336,0.92545,0.90177,0.91848,0.94164,0.70495,0.91991,0.46008,0.94397,0.00113191,0.00113191,0.00113191
65,772.424,0.92812,0.51102,0.92866,0.89876,0.90928,0.93986,0.70426,0.91852,0.4733,0.94373,0.0011272,0.0011272,0.0011272
66,784.031,0.93805,0.51734,0.93374,0.90854,0.89698,0.93181,0.70023,0.92414,0.48724,0.94637,0.00112248,0.00112248,0.00112248
67,795.675,0.90418,0.50276,0.93175,0.90655,0.90699,0.93188,0.69839,0.9208,0.46759,0.94556,0.00111776,0.00111776,0.00111776
68,807.466,0.93226,0.52452,0.93095,0.89944,0.90061,0.9354,0.69507,0.94422,0.47698,0.95079,0.00111305,0.00111305,0.00111305
69,819.348,0.91469,0.51811,0.93015,0.8933,0.9022,0.9244,0.69334,0.92809,0.48019,0.94563,0.00110833,0.00110833,0.00110833
70,831.117,0.91601,0.51545,0.93333,0.91711,0.90296,0.93741,0.70243,0.92483,0.46416,0.94531,0.00110362,0.00110362,0.00110362
71,843.181,0.9325,0.50845,0.94375,0.90751,0.90647,0.94032,0.70209,0.92678,0.46656,0.95065,0.0010989,0.0010989,0.0010989
72,854.996,0.91803,0.50124,0.92926,0.90721,0.90604,0.93934,0.70723,0.92803,0.46833,0.94556,0.00109419,0.00109419,0.00109419
73,867.218,0.94717,0.51553,0.92637,0.90157,0.90516,0.93009,0.69591,0.94064,0.47844,0.94999,0.00108947,0.00108947,0.00108947
74,879.031,0.95334,0.50847,0.94258,0.90855,0.90534,0.93607,0.70499,0.92247,0.46029,0.94395,0.00108475,0.00108475,0.00108475
75,891.074,0.94525,0.50324,0.94518,0.90317,0.92003,0.94037,0.69957,0.95711,0.46053,0.95242,0.00108004,0.00108004,0.00108004
76,902.566,0.92807,0.50291,0.93238,0.91091,0.90874,0.93528,0.70171,0.92879,0.46279,0.94473,0.00107532,0.00107532,0.00107532
77,914.436,0.9522,0.50987,0.94074,0.9137,0.9053,0.9393,0.70436,0.92748,0.4636,0.94726,0.00107061,0.00107061,0.00107061
78,926.249,0.93528,0.50518,0.93562,0.90722,0.90761,0.94289,0.70479,0.92502,0.4567,0.94471,0.00106589,0.00106589,0.00106589
79,938.221,0.89636,0.49507,0.92626,0.90732,0.89538,0.93441,0.69983,0.9122,0.46893,0.9447,0.00106118,0.00106118,0.00106118
80,950.195,0.94179,0.5126,0.93676,0.91324,0.90092,0.93978,0.70478,0.92114,0.4576,0.9467,0.00105646,0.00105646,0.00105646
81,962.019,0.93169,0.50002,0.93456,0.91156,0.90529,0.94011,0.70585,0.91825,0.45814,0.94179,0.00105174,0.00105174,0.00105174
82,973.869,0.91352,0.49721,0.93223,0.91327,0.89994,0.93632,0.70339,0.92338,0.47787,0.94698,0.00104703,0.00104703,0.00104703
83,985.502,0.91827,0.50528,0.92838,0.90337,0.90529,0.93823,0.70069,0.92403,0.46587,0.94658,0.00104231,0.00104231,0.00104231
84,997.308,0.92588,0.50789,0.92371,0.89868,0.90968,0.93585,0.6979,0.9269,0.46674,0.94792,0.0010376,0.0010376,0.0010376
85,1009.19,0.88427,0.49394,0.91103,0.90858,0.9104,0.94168,0.70618,0.92049,0.45669,0.94497,0.00103288,0.00103288,0.00103288
86,1020.91,0.89642,0.48639,0.93231,0.90722,0.90836,0.93624,0.69694,0.92066,0.46235,0.94494,0.00102817,0.00102817,0.00102817
87,1033.04,0.89491,0.4778,0.92687,0.90335,0.90599,0.93146,0.70448,0.91311,0.46518,0.94305,0.00102345,0.00102345,0.00102345
